State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
1,7,Bibb,AL,Alabama,p89,SERTP
29,203,Shannon,MO,Missouri,p84,MISO_Central
45,33,Dillon,SC,South Carolina,p96,SERTP
23,1,Androscoggin,ME,Maine,p134,ISONE
13,109,Evans,GA,Georgia,p94,SERTP
27,105,Nobles,MN,Minnesota,p44,MISO_North
22,123,West Carroll,LA,Louisiana,p86,MISO_South
5,19,Clark,AR,Arkansas,p85,MISO_South
13,31,Bulloch,GA,Georgia,p94,SERTP
8,47,Gilpin,CO,Colorado,p33,WestConnect_North
53,61,Snohomish,WA,Washington,p1,NorthernGrid_West
17,167,Sangamon,IL,Illinois,p82,MISO_Central
39,113,Montgomery,OH,Ohio,p113,PJM_East
53,9,Clallam,WA,Washington,p2,NorthernGrid_West
5,133,Sevier,AR,Arkansas,p85,MISO_South
51,710,Norfolk,VA,Virginia,p99,PJM_East
13,309,Wheeler,GA,Georgia,p94,SERTP
48,107,Crosby,TX,Texas,p60,ERCOT
17,143,Peoria,IL,Illinois,p82,MISO_Central
48,161,Freestone,TX,Texas,p63,ERCOT
47,29,Cocke,TN,Tennessee,p92,SERTP
37,17,Bladen,NC,North Carolina,p98,SERTP
53,23,Garfield,WA,Washington,p2,NorthernGrid_West
13,297,Walton,GA,Georgia,p94,SERTP
51,153,Prince William,VA,Virginia,p99,PJM_East
18,105,Monroe,IN,Indiana,p107,MISO_Central
45,59,Laurens,SC,South Carolina,p95,SERTP
6,19,Fresno,CA,California,p9,CAISO
28,135,Tallahatchie,MS,Mississippi,p87,MISO_South
24,45,Wicomico,MD,Maryland,p123,PJM_East
48,79,Cochran,TX,Texas,p48,SPP_South
32,1,Churchill,NV,Nevada,p12,NorthernGrid_South
21,107,Hopkins,KY,Kentucky,p108,MISO_Central
48,391,Refugio,TX,Texas,p65,ERCOT
21,161,Mason,KY,Kentucky,p109,PJM_East
31,115,Loup,NE,Nebraska,p40,SPP_North
47,15,Cannon,TN,Tennessee,p92,SERTP
38,27,Eddy,ND,North Dakota,p37,MISO_North
47,37,Davidson,TN,Tennessee,p92,SERTP
55,127,Walworth,WI,Wisconsin,p79,MISO_North
21,79,Garrard,KY,Kentucky,p109,PJM_East
39,101,Marion,OH,Ohio,p112,PJM_East
13,221,Oglethorpe,GA,Georgia,p94,SERTP
41,29,Jackson,OR,Oregon,p6,NorthernGrid_West
13,165,Jenkins,GA,Georgia,p94,SERTP
39,85,Lake,OH,Ohio,p111,PJM_East
54,15,Clay,WV,West Virginia,p116,PJM_East
48,129,Donley,TX,Texas,p48,SPP_South
